C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_46_773.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_46_773.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_46_773.jpg,0,0,0,8.811007E-07
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_46_839.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_46_839.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_46_839.jpg,0,0,0,1.739833E-06
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_46_908.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_46_908.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_46_908.jpg,0,0,0,8.059234E-06
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_46_978.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_46_978.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_46_978.jpg,0,0,0,1.753162E-05
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_47_049.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_47_049.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_47_049.jpg,0,0,0,9.380343E-06
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_47_122.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_47_122.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_47_122.jpg,0,0,0,1.362485E-05
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_47_193.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_47_193.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_47_193.jpg,0,0,0,8.088256E-06
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_47_261.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_47_261.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_47_261.jpg,0,0,0,9.486163E-06
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_47_330.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_47_330.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_47_330.jpg,0,0,0,2.67131E-05
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_47_400.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_47_400.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_47_400.jpg,0,0,0,4.158909E-06
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_47_473.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_47_473.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_47_473.jpg,0,0,0,1.543678E-05
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_47_545.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_47_545.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_47_545.jpg,0,0,0,6.131773E-06
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_47_611.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_47_611.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_47_611.jpg,0,0,0,7.293374E-06
C:\Users\alexp\Desktop\Data\IMG\center_2021_08_05_22_29_47_682.jpg,C:\Users\alexp\Desktop\Data\IMG\left_2021_08_05_22_29_47_682.jpg,C:\Users\alexp\Desktop\Data\IMG\right_2021_08_05_22_29_47_682.jpg,0,0,0,7.461307E-06
